UserId;DeviceModel;Browser;OS;UserAgent;IP;IPCountry ;Site;HourId
29670797;Desktop;Chrome;Windows;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36";107.77.228.159;United States;a.com;7
28970770;Desktop;Chrome;Mac;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36";24.114.99.243;Canada;a.com;12
13222192;Samsung Galaxy J7 (2017);Other;Android;"Mozilla/5.0 (Linux; Android 8.1.0; SAMSUNG SM-J727T Build/M1AJQ) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.4 Chrome/67.0.3396.87 Mobile Safari/537.36";97.103.218.154;United States;a.com;3
27951845;Desktop;Firefox;Windows;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0";157.44.13.85;India;a.com;14
29057958;Apple iPhone;Safari;iOS;"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1";162.196.143.222;United States;a.com;7
28627275;Huawei Mate 10 Pro;Chrome;Android;"Mozilla/5.0 (Linux; Android 9; BLA-A09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36";75.177.129.184;United States;a.com;7
27512791;Samsung Galaxy S8+;Chrome;Android;"Mozilla/5.0 (Linux; Android 9; SM-G955U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36";185.147.117.18;Italy;a.com;7
26693168;Desktop;Safari;Mac;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15";174.203.14.156;United States;a.com;15
27347998;Apple iPhone;Safari Web View;iOS;"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148";73.35.217.10;United States;a.com;6
29420080;Desktop;Chrome;Windows;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36;184.17.236.96;United States;a.com;6
20453229;Desktop;Firefox;Mac;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:68.0) Gecko/20100101 Firefox/68.0";70.255.96.55;United States;a.com;15
28095597;Desktop;Chrome;Windows;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36";216.66.12.60;United States;a.com;6
28591382;Desktop;Chrome;Windows;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36";174.20.116.199;United States;a.com;17
27275412;Samsung Galaxy S9;Chrome;Android;"Mozilla/5.0 (Linux; Android 9; SM-G960U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36";107.77.218.218;United States;a.com;17
27092699;Apple iPad;Other;iOS;"Mozilla/5.0 (iPad; CPU OS 12_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/76.0.3809.81 Mobile/15E148 Safari/605.1";184.91.210.50;United States;a.com;13
27951845;Desktop;Firefox;Windows;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0";157.44.13.85;India;a.com;7
25658478;Motorola Moto G6;Chrome;Android;"Mozilla/5.0 (Linux; Android 8.0.0; moto g(6)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.143 Mobile Safari/537.36";78.43.108.81;Germany;a.com;7
23180633;Apple iPad;Safari;iOS;"Mozilla/5.0 (iPad; CPU OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1";75.108.105.154;United States;a.com;21
24248816;Desktop;Chrome;Mac;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36";73.218.101.218;United States;a.com;12
29390197;Samsung Galaxy Tab A 10.1;Chrome;Android;"Mozilla/5.0 (Linux; Android 7.0; SM-T580) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Safari/537.36";75.181.32.205;United States;a.com;10
21903316;Apple iPad;Safari;iOS;"Mozilla/5.0 (iPad; CPU OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1";75.68.92.229;United States;a.com;16
24563660;Desktop;Safari;Mac;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15";136.61.167.26;United States;a.com;19
